Time,Chao_Number,Tone 
0.009395323,2.565675171,2
0.020674218,2.508170786,2
0.030509272,2.442748765,2
0.04276998,2.448065031,2
0.055989042,2.392063527,2
0.067548155,2.334838597,2
0.086293469,2.269585611,2
0.098730464,2.225777765,2
0.113189806,2.198088282,2
0.124020379,2.162973999,2
0.137907823,2.114751872,2
0.150545003,2.056117657,2
0.163201565,2.015238976,2
0.202775722,1.907447963,2
0.214611052,1.853477043,2
0.228265835,1.817134598,2
0.241126684,1.76378024,2
0.254605236,1.706061418,2
0.267483758,1.688106482,2
0.280427692,1.654002134,2
0.293538519,1.61437613,2
0.306766711,1.578579057,2
0.319843261,1.530861079,2
0.332700682,1.486647228,2
0.344768866,1.439251319,2
0.358085067,1.423229381,2
0.3718445,1.390524186,2
0.38348567,1.369041362,2
0.397117631,1.339863198,2
0.409960519,1.293490758,2
0.422486388,1.234404976,2
0.43654883,1.179383295,2
0.449173552,1.143952667,2
0.565190595,0.888359527,2
0.578136427,0.862212861,2
0.591083884,0.842887063,2
0.604031884,0.82583489,2
0.616979341,0.806509093,2
0.629927476,0.790025324,2
0.642874663,0.769562716,2
0.655821172,0.746258078,2
0.667721118,0.690955538,2
0.681707551,0.671796919,2
0.695280604,0.617142515,2
0.707593116,0.593925325,2
0.720540438,0.574031122,2
0.734237353,0.523321205,2
0.746425462,0.493885905,2
0.759370752,0.465465615,2
0.772316373,0.438434762,2
0.781898417,0.413903089,2
0.175682322,1.974683544,2
0.189972994,1.924050633,2
0.499657519,1.050632911,2
0.517526893,1.012658228,2
0.528250932,1,2
0.541355743,0.974683544,2
0.507997767,1.037974684,2
0.480599267,1.101265823,2
0.466299543,1.113924051,2
0.555652449,0.949367089,2
